Sample	chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX	chrY	chrM
SDI0857.adi	6	4	1	2	2	3	2	3	3	2	0	2	0	0	3	0	3	2	3	1	0	1	1	0	0
SDI0858.adi	5940	4195	3601	2825	2774	3487	2931	2234	2366	2586	3606	2304	1112	1688	1791	2045	2559	925	2560	1513	721	1328	837	15	15
SDI0859.adi	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDI0860.adi	3830	2671	2407	1754	1752	2187	1921	1431	1473	1559	2330	1480	750	987	1177	1330	1545	651	1539	931	486	795	771	0	6
SDI0861.adi	11360	8016	6476	4924	5411	6923	5821	4412	4671	4878	6780	5112	2201	3399	3651	4371	5776	1913	6349	2883	1520	2620	2010	29	39
SDI0862.adi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SDI0863.adi	1	3	2	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	0
SDI0864.adi	12067	8613	7157	5416	5475	7380	6163	4464	5121	5566	7210	5514	2359	3615	3870	4811	5948	2089	6707	3154	1641	2978	1609	27	42
SDI0865.adi	11430	8120	6848	5074	5176	7055	5894	4431	4746	5242	6871	4891	2172	3370	3605	4502	5871	1914	6181	2936	1580	2687	2060	17	47
SDI0866.adi	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
SDI0867.adi	6160	4293	3798	2938	3087	3621	3070	2449	2386	2801	3693	2393	1196	1679	1840	2176	2869	1054	2701	1529	795	1389	1261	4	11
SDI0868.adi	1	0	0	1	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0
SDI0869.adi	3985	2811	2446	1770	1871	2354	1998	1521	1561	1632	2432	1477	780	1019	1185	1353	1650	676	1678	969	502	872	853	0	0
SDI0870.adi	3	6	3	6	1	2	2	2	0	2	2	3	1	2	0	0	2	1	2	0	0	1	1	0	0
